"Title: Population Distribution by Race/Ethnicity | The Henry J. Kaiser Family Foundation"
"Timeframe: 2012"
"Location","White","Black","Hispanic"
"Alabama","0.67","0.26","0.04"
"Alaska","0.63","0.03","0.06"
"Arizona","0.57","0.04","0.30"
"Arkansas","0.74","0.15","0.07"
"California","0.39","0.06","0.38"
"Colorado","0.70","0.04","0.21"
"Connecticut","0.70","0.09","0.14"
"Delaware","0.65","0.21","0.09"
"District of Columbia","0.35","0.49","0.10"
"Florida","0.57","0.15","0.23"
"Georgia","0.55","0.30","0.09"
"Hawaii","0.22","0.01","0.09"
"Idaho","0.84","<.01","0.12"
"Illinois","0.63","0.14","0.17"
"Indiana","0.81","0.09","0.06"
"Iowa","0.88","0.03","0.05"
"Kansas","0.78","0.06","0.11"
"Kentucky","0.86","0.08","0.03"
"Louisiana","0.60","0.32","0.05"
"Maine","0.94","0.01","0.02"
"Maryland","0.54","0.29","0.09"
"Massachusetts","0.75","0.06","0.10"
"Michigan","0.76","0.14","0.05"
"Minnesota","0.82","0.05","0.05"
"Mississippi","0.58","0.38","0.02"
"Missouri","0.81","0.11","0.04"
"Montana","0.87","N/A","0.03"
"Nebraska","0.82","0.05","0.10"
"Nevada","0.53","0.08","0.27"
"New Hampshire","0.92","0.01","0.03"
"New Jersey","0.58","0.12","0.19"
"New Mexico","0.40","0.02","0.47"
"New York","0.57","0.14","0.18"
"North Carolina","0.65","0.21","0.09"
"North Dakota","0.88","0.02","0.02"
"Ohio","0.81","0.12","0.03"
"Oklahoma","0.68","0.07","0.09"
"Oregon","0.78","0.02","0.12"
"Pennsylvania","0.79","0.10","0.06"
"Rhode Island","0.75","0.05","0.14"
"South Carolina","0.64","0.27","0.05"
"South Dakota","0.84","0.02","0.03"
"Tennessee","0.75","0.17","0.05"
"Texas","0.44","0.11","0.38"
"Utah","0.80","0.01","0.13"
"Vermont","0.94","0.01","0.01"
"Virginia","0.64","0.19","0.08"
"Washington","0.72","0.03","0.12"
"West Virginia","0.93","0.03","0.01"
"Wisconsin","0.83","0.06","0.06"
"Wyoming","0.85","0.01","0.10"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. Please note that in the past, population data posted to this site had used the Current Population Survey. We have replaced all previously-posted data, including data for previous years, with data based on ACS.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2017."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


